step,HEK_Experiment_0,HEK_Experiment_1,HEK_Experiment_2,HEK_Experiment_3,HEK_Experiment_4,iPS_Experiment_0,iPS_Experiment_1,iPS_Experiment_2,iPS_Experiment_3,iPS_Experiment_4
step_00000003,,,,,,PassageInitialState,,,,
step_00000004,,,,,,PassageInitialState,PassageInitialState,,,
step_00000005,,,,,,PassageInitialState,PassageInitialState,PassageInitialState,,
step_00000006,,,,,,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState,
step_00000007,,,,,,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState
step_00000008,,,,,,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState
step_00000009,,,,,,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState
step_00000010,,,,,,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState
step_00000011,,,,,,MediumChange1State,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState
step_00000012,,,,,,MediumChange1State,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState
step_00000013,,,,,,MediumChange1State,PassageInitialState,PassageInitialState,PassageInitialState,PassageInitialState
step_00000014,,,,,,MediumChange1State,MediumChange1State,PassageInitialState,PassageInitialState,PassageInitialState
step_00000015,,,,,,MediumChange1State,MediumChange1State,PassageInitialState,PassageInitialState,PassageInitialState
step_00000016,,,,,,MediumChange1State,MediumChange1State,PassageInitialState,PassageInitialState,PassageInitialState
step_00000017,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,PassageInitialState,PassageInitialState
step_00000018,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,PassageInitialState,PassageInitialState
step_00000019,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,PassageInitialState,PassageInitialState
step_00000020,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,PassageInitialState
step_00000021,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,PassageInitialState
step_00000022,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,PassageInitialState
step_00000023,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000024,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000025,,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000026,,,,,,,,MediumChange1State,MediumChange1State,MediumChange1State
step_00000027,,,,,,,,,MediumChange1State,MediumChange1State
step_00000028,,,,,,,,,,MediumChange1State
step_00000030,,,,,,MediumChange1State,,,,
step_00000031,,,,,,MediumChange1State,MediumChange1State,,,
step_00000032,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,,
step_00000033,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,
step_00000034,,,,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000035,HEKGetImageState,,,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000036,HEKGetImageState,HEKGetImageState,,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000037,HEKGetImageState,HEKGetImageState,HEKGetImageState,,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000038,HEKGetImageState,HEKGetImageState,HEKGetImageState,HEKGetImageState,,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000039,HEKGetImageState,HEKGetImageState,HEKGetImageState,HEKGetImageState,HEKGetImageState,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000040,HEKGetImageState,HEKGetImageState,HEKGetImageState,HEKGetImageState,HEKGetImageState,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
